Taxon,Species,Genes,12S,16S,AMEL,BDNF,BMP2,CMOS,COI,CYTB,ND1,ND2,ND4,NT3,PDC,PRLR,R35,RAG1,RAG2
Sauria,Acanthodactylus spinicauda,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus taghitensis,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus tilburyi,0,,,,,,,,,,,,,,,,,
Sauria,Acanthodactylus tristrami,2,AF197493,AF197494,,,,,,,,,,,,,,,
Sauria,Acanthodactylus yemenicus,0,,,,,,,,,,,,,,,,,
Sauria,Acanthosaura armata,7,NC_014175,NC_014175,,,,,AB266452,NC_014175,NC_014175,NC_014175,AB266452,,,,,,
Sauria,Acanthosaura bintangensis,0,,,,,,,,,,,,,,,,,
Sauria,Acanthosaura brachypoda,0,,,,,,,,,,,,,,,,,
Sauria,Acanthosaura capra,3,,,,,,,,AY572881,AF128498,AF128498,,,,,,,
Sauria,Acanthosaura cardamomensis,1,,,,,,,,,,GU817400,,,,,,,
Sauria,Acanthosaura coronata,0,,,,,,,,,,,,,,,,,
Sauria,Acanthosaura crucigera,4,AB031963,AB031980,,,,,,AY572892,,HM143889,,,,,,,
Sauria,Acanthosaura lepidogaster,8,,,,JF806003,JF806037,,,AY572928,AF128499,AF128499,,JF804531,,,JF804578,JF806187,
Sauria,Acanthosaura nataliae,0,,,,,,,,,,,,,,,,,
Sauria,Acanthosaura titiwangsaensis,0,,,,,,,,,,,,,,,,,
Sauria,Acontias aurantiacus,4,,HQ180043,,,,,HQ180070,HQ180097,,,,,,,,HQ180124,
Sauria,Acontias bicolor,4,,HQ180045,,,,,HQ180072,HQ180099,,,,,,,,HQ180126,
Sauria,Acontias breviceps,6,DQ249017,HQ180036,,,,DQ249062,DQ249076,HQ180090,,,,,,,,HQ180117,
