Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Arthroleptidae,Leptopelinae,Leptopelis millsoni,1,,HQ130757,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis modestus,3,AF215230,AJ437013,,,AF215497,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis mossambicus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis natalensis,7,AY341626,AY341692,EF396016,,AY341736,,,,,,AY571654,AY341811,,,AY341755
Anura,Arthroleptidae,Leptopelinae,Leptopelis nordequatorialis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis notatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis occidentalis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis ocellatus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis oryi,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis palmatus,2,AY603992,AY603992,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis parbocagii,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis parkeri,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis parvus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis ragazzii,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis rufus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis spiritusnoctis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis susanae,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis uluguruensis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis vannutellii,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis vermiculatus,6,DQ022312,DQ022347,,,JX564875,DQ284268,,JX564875,JX564875,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis viridis,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis xenodactylus,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis yaldeni,0,,,,,,,,,,,,,,,
Anura,Arthroleptidae,Leptopelinae,Leptopelis zebra,0,,,,,,,,,,,,,,,
Anura,Ascaphidae,Ascaphinae,Ascaphus montanus,7,,AY523779,,AY523698,DQ087512,,AY523730,AY523779,,,AY650146,,,EF107399,
Anura,Ascaphidae,Ascaphinae,Ascaphus truei,13,X86225,DQ283116,EU275896,AY523695,AF277330,DQ284162,AY523731,AY523780,AJ871087,EU275850,AY323754,DQ347404,,AY948893,
Anura,Batrachylidae,Batrachylinae,Atelognathus ceii,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Atelognathus jeinimenensis,2,DQ864528,DQ864547,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Atelognathus nitoi,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Atelognathus patagonicus,7,AY843571,AY843571,,,AY843793,,,,,,AY844368,AY844545,AY844773,,AY844027
Anura,Batrachylidae,Batrachylinae,Atelognathus praebasalticus,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Atelognathus reverberii,0,,,,,,,,,,,,,,,
