"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Monopeltis_sphenorhynchus","","","","","","HG425296","","","","HG425309","","","","","","HG425276",""
"Monopeltis_vanderysti","","","","","","","","","","","","","","","","",""
"Monopeltis_welwitschii","","","","","","","","","","","","","","","","",""
"Monopeltis_zambezensis","","","","","","","","","","","","","","","","",""
"Pachycalamus_brevis","","","","","","","","","","","","","","","","",""
"Rhineura_floridana","EU203657","EU203657","EU203600","EU203607","GU457906","AY444022","NC_006282","AY605473","NC_006282","NC_006282","NC_006282","EU203624","EU293714","JN880874","DQ119613","AY662618","DQ119631"
"Trogonophis_wiegmanni","EU203659","EU203659","EU203603","EU203610","GU457907","AY444025","","","AY662542","AY662542","KJ624832","EU203627","","JN880884","HQ876354","AY662617","DQ119634"
"Zygaspis_dolichomenta","","","","","","","","","","","","","","","","",""
"Zygaspis_ferox","","","","","","","","","","","","","","","","",""
"Zygaspis_kafuensis","","","","","","","","","","","","","","","","",""
"Zygaspis_nigra","","HG425317","","","","HG425293","","","","HG425310","","","","","","HG425288",""
"Zygaspis_quadrifrons","","HG425316","","","","HG425292","","","","HG425308","","","","","","HG425287",""
"Zygaspis_vandami","","HG425314","","","","HG425290","","","","HG425303","","","","","","HG425284",""
"Zygaspis_violacea","","","","","","","","","","","","","","","","",""
"Sphenodon_punctatus","AF534390","AF534390","REF2","GU457846","GU457880","AF039483","AF534390","AF534390","AF534390","AF534390","AF534390","GU456002","HQ426257","JN880798","HQ876320","AY662576","HQ426516"
"Ablepharus_bivittatus","","","","","","","","","","","","","","","","",""
"Ablepharus_budaki","","AY561432","","","","","","AY561376","","","","","","","","",""
"Ablepharus_chernovi","","JX847534","","","","","","AY561379","","","","","","","","",""
"Ablepharus_darvazi","","","","","","","","","","","","","","","","",""
"Ablepharus_deserti","","","","","","","","","","","","","","","","",""
"Ablepharus_grayanus","KF514642","KF514647","","","","","","","","","","","","","","",""
"Ablepharus_kitaibelii","AY308325","AY561419","","","","","","AY561365","","","","","","","","",""
"Ablepharus_lindbergi","","","","","","","","","","","","","","","","",""
"Ablepharus_pannonicus","","","","","","","","","","","","","","","","",""
"Ablepharus_rueppellii","","","","","","","","","","","","","","","","",""
"Abronia_anzuetoi","AF056602","","","","","","","AF056587","","","","","","","","",""
"Abronia_aurita","AF056616","","","","","","","AF056601","","","","","","","","",""
"Abronia_bogerti","","","","","","","","","","","","","","","","",""
"Abronia_campbelli","AF056605","","","","","","","AF056590","","","","","","","","",""
"Abronia_chiszari","","","","","","","","","","","AY605101","","","","","",""
"Abronia_deppii","","","","","","","","","","","","","","","","",""
"Abronia_fimbriata","AF056606","","","","","","","AF056591","","","","","","","","",""
"Abronia_frosti","AF056607","","","","","","","AF056592","","","","","","","","",""
"Abronia_fuscolabialis","","","","","","","","","","","","","","","","",""
"Abronia_gaiophantasma","","","","","","","","","","","","","","","","",""
"Abronia_graminea","AB080273","AB080273","","JQ845040","JQ844993","","AB080273","NC_005958","AY742917","AY742923","AB080273","JQ844947","","","","",""
"Abronia_leurolepis","","","","","","","","","","","","","","","","",""
"Abronia_lythrochila","AF056608","","","","","","","AF056593","","","","","","","","",""
"Abronia_martindelcampoi","","","","","","","","","","","","","","","","",""
"Abronia_matudai","AF056609","","","","","","","AF056594","","","","","","","","",""
"Abronia_meledona","","","","","","","","","","","","","","","","",""
"Abronia_mitchelli","","","","","","","","","","","","","","","","",""
"Abronia_mixteca","AF056610","","","","","","","AF056595","","","","","","","","",""
"Abronia_montecristoi","","","","","","","","","","","","","","","","",""
"Abronia_oaxacae","","","","","","","","","AF085615","AF085615","","","","","","",""
"Abronia_ochoterenai","","","","","","","","","","","","","","","","",""
"Abronia_ornelasi","AF056611","","","","","","","AF056596","","","","","","","","",""
"Abronia_ramirezi","","","","","","","","","","","","","","","","",""
"Abronia_reidi","","","","","","","","","","","","","","","","",""
"Abronia_salvadorensis","","","","","","","","","","","","","","","","",""
"Abronia_smithi","","","","","","","","","","","","","","","","",""
"Abronia_taeniata","","","","","","","","","","","","","","","","",""
"Abronia_vasconcelosii","","","","","","","","","","","","","","","","",""
"Acanthocercus_adramitanus","","","","","","","","","","","","","","","","",""
"Acanthocercus_annectens","","JX668129","","","","JX838887","KP994950","","","","JX857561","JX839176","","","JX839078","KP994941",""
"Acanthocercus_atricollis","","JX668132","","","","JX838891","","","","","JX857555","JX839179","","","JX839082","",""
"Acanthocercus_branchi","","","","","","","","","","","","","","","","",""
"Acanthocercus_cyanogaster","","JX668139","","","","JX838896","","","","","JX857562","JX839180","","","JX839085","",""
"Acanthocercus_guentherpetersi","","","","","","","","","","","","","","","","",""
"Acanthocercus_phillipsii","","","","","","","","","","","","","","","","",""
"Acanthocercus_yemensis","","JX668141","","","","JX838898","","","","","JX857559","JX839182","","","JX839087","KP994942",""
"Acanthodactylus_aegyptius","","","","","","","","","","","","","","","","",""
"Acanthodactylus_ahmaddisii","","","","","","","","","","","","","","","","",""
"Acanthodactylus_arabicus","","","","","","","","","","","","","","","","",""
"Acanthodactylus_aureus","AF197485","AF197486","","","","","","","","","","","","","","",""
"Acanthodactylus_bedriagai","AY633415","AY633438","","","","","","","","","","","","","","",""
"Acanthodactylus_beershebensis","JF912449","JF912448","","","","","","","","","","","","","","",""
"Acanthodactylus_blanci","AY633407","AY633431","","","","","","","","","","","","","","",""
"Acanthodactylus_blanfordii","KJ567755","AF197482","","","","KJ548021","","KJ567847","","","KJ652822","","","","","",""
"Acanthodactylus_boskianus","GU225704","AY633441","","","","EF632251","","HM778108","","","HM778101","","","","","EF632206",""
"Acanthodactylus_boueti","","","","","","","","","","","","","","","","",""
"Acanthodactylus_busacki","EU086876","EU086903","","","","","","","","","","","","","","",""
"Acanthodactylus_cantoris","KJ567757","AF080346","","","","KJ548019","","KJ567851","","","","","","","","",""
"Acanthodactylus_dumerilii","","","","","","","","","","","","","","","","",""
"Acanthodactylus_erythrurus","AF206607","AF206607","","","","HQ605874","AF206568","AF206536","","","","","","","","HQ616540",""
"Acanthodactylus_felicis","KJ567734","","","","","KJ548008","","KJ567845","","","","","","","","",""
"Acanthodactylus_gongrorhynchatus","AF080341","AF080343","","","","","","AF080342","","","","","","","","",""
"Acanthodactylus_grandis","","JX847521","","","","","","JX847555","","","KJ652837","","","","","",""
"Acanthodactylus_guineensis","","","","","","","","","","","","","","","","",""
"Acanthodactylus_haasi","","","","","","","","","","","","","","","","",""
"Acanthodactylus_hardyi","","","","","","","","","","","","","","","","",""
"Acanthodactylus_harranensis","","","","","","","","","","","","","","","","",""
"Acanthodactylus_khamirensis","","","","","","","","KJ652709","","","KJ652794","","","","","",""
"Acanthodactylus_lineomaculatus","AY633413","AY633437","","","","","","","","","","","","","","",""
"Acanthodactylus_longipes","AF197489","AF197490","","","","","","","","","","","","","","",""
"Acanthodactylus_maculatus","EU086875","EU086902","","","","","","","","","","","","","","",""
"Acanthodactylus_masirae","KJ567753","AF197504","","","","KJ548017","","KJ567849","","","","","","","","",""
"Acanthodactylus_micropholis","","","","","","","","KJ652744","","","KJ652778","","","","","",""
"Acanthodactylus_nilsoni","","","","","","","","KJ652736","","","KJ652830","","","","","",""
"Acanthodactylus_opheodurus","KJ567750","AF197502","","","","KJ548007","","KJ567844","","","","","","","","",""
"Acanthodactylus_orientalis","AF197491","AF197492","","","","","","","","","","","","","","",""
"Acanthodactylus_pardalis","EU086878","EU086905","","","","","","","","","","","","","","",""
"Acanthodactylus_robustus","","","","","","","","","","","","","","","","",""
"Acanthodactylus_savignyi","","","","","","","","","","","","","","","","",""
"Acanthodactylus_schmidti","AF080375","AF080377","","","","","","AF080376","","","KJ652831","","","","","",""
"Acanthodactylus_schreiberi","KJ567725","JX847526","","","","GU433302","","JX847559","","","","","","","","GU433312",""
"Acanthodactylus_scutellatus","KJ567759","AF197488","","","","EF632252","","KJ567853","","","","","","","","EF632207",""
"Acanthodactylus_senegalensis","","","","","","","","","","","","","","","","",""
"Acanthodactylus_spinicauda","","","","","","","","","","","","","","","","",""
"Acanthodactylus_taghitensis","","","","","","","","","","","","","","","","",""
"Acanthodactylus_tilburyi","","","","","","","","","","","","","","","","",""
"Acanthodactylus_tristrami","AF197493","AF197494","","","","","","","","","","","","","","",""
"Acanthodactylus_yemenicus","","","","","","","","","","","","","","","","",""
"Acanthosaura_armata","NC_014175","NC_014175","","","","","AB266452","NC_014175","NC_014175","NC_014175","AB266452","","","","","",""
"Acanthosaura_bintangensis","","","","","","","","","","","","","","","","",""
"Acanthosaura_brachypoda","","","","","","","","","","","","","","","","",""
